param,index,value
base.iso._bth,,-7.72966807
base.iso._bz,,-4.944134917
base.iso.bthz,,0.1200317193
base.aniso._α,,0.2861521894
base.aniso._k1,0,5.560636319
base.aniso._k1,1,5.560636319
base.aniso._k1,2,3.333043473
base.aniso._k1,3,3.154090214
base.aniso._k2,0,-2.136757641
base.aniso._k2,1,-2.136757641
base.aniso._k2,2,32.795707
base.aniso._k2,3,-7.861223892
base.aniso._lam0_raw,0,-5.274233759
base.aniso._lam0_raw,1,-5.274233759
base.aniso._lam0_raw,2,-8.064245196
base.aniso._lam0_raw,3,2.134699042
base.aniso._lam0h_raw,0,-2.8
base.aniso._lam0h_raw,1,-2.8
base.aniso._tau_raw,0,8.782922126
base.aniso._tau_raw,1,8.782922126
base.aniso._tau_raw,2,-0.8289169777
base.aniso._tau_raw,3,-1.886284161
base.aniso._sigma_s_raw,0,-2
base.aniso._sigma_s_raw,1,-2
base.aniso._sigma_s_raw,2,-2
base.aniso._sigma_s_raw,3,-2
base.aniso._lambda_lb_raw,0,-4
base.aniso._lambda_lb_raw,1,-4
base.aniso._lambda_lb_raw,2,-4
base.aniso._lambda_lb_raw,3,-4
base.aniso._lambda_ub_raw,0,1
base.aniso._lambda_ub_raw,1,1
base.aniso._lambda_ub_raw,2,1
base.aniso._lambda_ub_raw,3,1
base.aniso._logn_mu_raw,0,-2.2
base.aniso._logn_mu_raw,1,-2.2
base.aniso._logn_mu_raw,2,-2.2
base.aniso._logn_mu_raw,3,-2.2
base.aniso._logn_sig_raw,0,-2
base.aniso._logn_sig_raw,1,-2
base.aniso._logn_sig_raw,2,-2
base.aniso._logn_sig_raw,3,-2
base.aniso._beta_a_raw,0,0.2
base.aniso._beta_a_raw,1,0.2
base.aniso._beta_a_raw,2,0.2
base.aniso._beta_a_raw,3,0.2
base.aniso._beta_b_raw,0,0.2
base.aniso._beta_b_raw,1,0.2
base.aniso._beta_b_raw,2,0.2
base.aniso._beta_b_raw,3,0.2
base.aniso._recruit_ref_stretch,,1.393
base.aniso.quad_x,0,0.005299
base.aniso.quad_x,1,0.027712
base.aniso.quad_x,2,0.067184
base.aniso.quad_x,3,0.122299
base.aniso.quad_x,4,0.191061
base.aniso.quad_x,5,0.270991
base.aniso.quad_x,6,0.359009
base.aniso.quad_x,7,0.451846
base.aniso.quad_x,8,0.546156
base.aniso.quad_x,9,0.638756
base.aniso.quad_x,10,0.726781
base.aniso.quad_x,11,0.807785
base.aniso.quad_w,0,0.013576
base.aniso.quad_w,1,0.031126
base.aniso.quad_w,2,0.047579
base.aniso.quad_w,3,0.062314
base.aniso.quad_w,4,0.074797
base.aniso.quad_w,5,0.084578
base.aniso.quad_w,6,0.091322
base.aniso.quad_w,7,0.094827
base.aniso.quad_w,8,0.095038
base.aniso.quad_w,9,0.092045
base.aniso.quad_w,10,0.086079
base.aniso.quad_w,11,0.0775
